id,home_id,date,value
4479,547,1395531229766,24482
4480,547,1363995229766,23288
4481,547,1332459229766,22094
4482,547,1300836829766,20901
4483,547,1269300829766,20901
4484,547,1237764829766,20402
4485,547,1206228829766,19407
4486,548,1553297630735,34260
4487,548,1521761630735,26496
4488,548,1490225630735,26296
4489,548,1458689630735,24808
4490,548,1427067230735,23404
4491,548,1395531230735,22080
4492,548,1363995230735,23040
4493,548,1332459230735,23520
4494,548,1300836830735,22809
4495,548,1269300830735,22809
4496,548,1237764830735,22371
4497,548,1206228830735,21356
4498,548,1174606430735,20148
4499,548,1143074030735,19008
4500,548,1111538030735,19008
4501,548,1080002030735,18643
4502,548,1048379630735,17797
4503,548,1016843630735,16790
4504,548,985307630735,15840
4505,548,953771630735,15840
4506,549,1553297631664,29520
4507,549,1521761631664,23999
4508,549,1490225631664,22641
4509,549,1458689631664,21360
4510,549,1427067231664,22740
4511,549,1395531231664,22162
4512,549,1363995231664,20908
4513,549,1332459231664,19725
4514,549,1300836831664,19725
4515,549,1269300831664,19576
4516,549,1237764831664,18469
4517,549,1206228831664,17424
4518,549,1174606431664,16438
4519,549,1143074031664,16438
4520,549,1111538031664,16314
4521,549,1080002031664,15391
4522,549,1048379631664,14520
4523,549,1016843631664,13699
4524,549,985307631664,13699
4525,549,953771631664,13595
4526,557,1553297638695,32040
4527,557,1521761638695,20780
4528,557,1490225638695,19704
4529,557,1458689638695,19704
4530,557,1427067238695,19284
4531,557,1395531238695,18212
4532,557,1363995238695,17317
4533,557,1332459238695,16420
4534,557,1300836838695,16420
4535,557,1269300838695,16070
4536,557,1237764838695,15177
4537,557,1206228838695,14431
4538,557,1174606438695,13684
4539,557,1143074038695,13684
4540,557,1111538038695,13392
4541,557,1080002038695,12648
4542,557,1048379638695,12026
4543,557,1016843638695,11404
4544,557,985307638695,11404
4545,557,953771638695,11160
4546,558,1553297639574,1613250
4547,558,1490225639574,1549350
4548,558,1458689639574,1353600
4549,558,1427067239574,1165500
4550,558,1395531239574,1041750
4551,558,1363995239574,946800
4552,558,1332459239574,954450
4553,558,1300836839574,905850
4554,558,1269300839574,855000
4555,558,1237764839574,1075500
4556,558,1206228839574,904500
4557,558,1174606439574,900000
4558,558,1143074039574,360900
4559,558,1111538039574,346050
4560,558,1080002039574,324450
4561,558,1048379639574,263700
4562,558,1016843639574,270000
4563,558,985307639574,297900
4564,558,953771639574,278100
4565,559,1553297640520,18960
4566,559,1521761640520,12816
4567,559,1490225640520,12718
4568,559,1458689640520,11999
4569,559,1427067240520,11320
4570,559,1395531240520,10680
4571,559,1363995240520,10740
4572,559,1332459240521,10680
4573,559,1300836840521,10740
4574,559,1269300840521,10520
4575,559,1237764840521,9925
4576,559,1206228840521,9364
4577,559,1174606440521,8950
4578,559,1143074040521,8950
4579,559,1111538040521,8768
4580,559,1080002040521,8272
4581,559,1048379640521,7804
4582,559,1016843640521,7459
4583,559,985307640521,7459
4584,559,953771640521,7307
4585,561,1269300842184,null
4586,561,1237764842184,null
4587,561,1206228842184,null
4588,561,1174606442184,null
4589,562,1553297642948,168000
4590,562,1490225642948,152234
4591,562,1458689642948,139500
4592,562,1427067242948,131400
4593,562,1395531242948,131400
4594,562,1363995242948,102150
4595,562,1332459242948,92250
4596,562,1300836842948,83700
4597,562,1269300842948,83700
