id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
2411,"2110 Brandywine Ln, Austin, TX 78727",4,6,1058,1976,TRUE,285000,https://www.zillow.com/homedetails/2110-Brandywine-Ln-Austin-TX-78727/29440656_zpid/,54:36.5
2412,"Kingston Plan, Forest Bluff",2,6,2032,2021,TRUE,298990,https://www.zillow.com/community/forest-bluff/2077808907_zpid/,54:37.5
2413,"1000 Ellingson Ln #2, Austin, TX 78751",3,6,1300,2021,TRUE,600000,https://www.zillow.com/homedetails/1000-Ellingson-Ln-2-Austin-TX-78751/2072320557_zpid/,54:38.5
2414,"The Reagan Plan, Pioneer Hill",4,6,1859,2021,TRUE,380990,https://www.zillow.com/community/pioneer-hill/2077117426_zpid/,54:39.5
2415,"7300 Ferndale Cv, Austin, TX 78745",7300,6,1525,1978,TRUE,409000,https://www.zillow.com/homedetails/7300-Ferndale-Cv-Austin-TX-78745/29501286_zpid/,54:40.3
2416,"2401 Portofino Ridge Dr, Austin, TX 78735",7,6,16722,2002,TRUE,12900000,https://www.zillow.com/homedetails/2401-Portofino-Ridge-Dr-Austin-TX-78735/29333063_zpid/,54:41.4
2417,"2509 Mcdonald Way, Austin, TX 78754",2509,6,1454,2014,TRUE,365000,https://www.zillow.com/homedetails/2509-Mcdonald-Way-Austin-TX-78754/119617406_zpid/,54:42.4
2418,"12521 Stoney Ridge Bnd, Del Valle, TX 78617",1,6,2417,2017,TRUE,335000,https://www.zillow.com/homedetails/12521-Stoney-Ridge-Bnd-Del-Valle-TX-78617/251030120_zpid/,54:43.6
2419,"12828 Appaloosa Chase Dr, Austin, TX 78732",12828,6,2413,2005,TRUE,577000,https://www.zillow.com/homedetails/12828-Appaloosa-Chase-Dr-Austin-TX-78732/70337521_zpid/,54:44.7
2420,"6718 Silvermine Dr APT 801, Austin, TX 78736",2,6,1072,1973,TRUE,229000,https://www.zillow.com/homedetails/6718-Silvermine-Dr-APT-801-Austin-TX-78736/29475986_zpid/,54:45.8
