id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
553,"2100 E Cesar Chavez St, Austin, TX 78702",2,6,1080,1928,TRUE,900000,https://www.zillow.com/homedetails/2100-E-Cesar-Chavez-St-Austin-TX-78702/29383065_zpid/,08:29.9
554,"The Redwood II Plan, Pioneer Hill",1,,1514,2021,TRUE,359990,https://www.zillow.com/community/pioneer-hill/2077117425_zpid/,08:31.1
555,"9470 E Highway 290, Austin, TX 78724",3,6,2122,1950,TRUE,1082000,https://www.zillow.com/homedetails/9470-E-Highway-290-Austin-TX-78724/29411198_zpid/,08:32.3
556,"6501 Vaught Ranch Rd, Austin, TX 78730",6501,6,2296,1970,TRUE,780000,https://www.zillow.com/homedetails/6501-Vaught-Ranch-Rd-Austin-TX-78730/64515996_zpid/,08:33.2
557,"200 Congress Ave UNIT 31V, Austin, TX 78701",3,6,3635,2008,TRUE,3625000,https://www.zillow.com/homedetails/200-Congress-Ave-UNIT-31V-Austin-TX-78701/83819093_zpid/,08:34.1
558,"200 Congress Ave #48Y, Austin, TX 78701",2,6,2641,2008,TRUE,3295000,https://www.zillow.com/homedetails/200-Congress-Ave-48Y-Austin-TX-78701/124840992_zpid/,08:35.1
559,"2005 Uphill Ln, Austin, TX 78741",2,6,800,1960,TRUE,350000,https://www.zillow.com/homedetails/2005-Uphill-Ln-Austin-TX-78741/29465576_zpid/,08:36.1
560,"11504 Morningsun Dr, Austin, TX 78737",2,6,725,1947,TRUE,1175000,https://www.zillow.com/homedetails/11504-Morningsun-Dr-Austin-TX-78737/2129894495_zpid/,08:37.1
561,"900 S 1st St UNIT 321, Austin, TX 78704",3,6,1886,2020,TRUE,1005000,https://www.zillow.com/homedetails/900-S-1st-St-UNIT-321-Austin-TX-78704/251033319_zpid/,08:38.2
562,"800 Embassy Dr #610, Austin, TX 78702",2,6,1934,2018,TRUE,1395000,https://www.zillow.com/homedetails/800-Embassy-Dr-610-Austin-TX-78702/305425843_zpid/,08:39.3
563,"715 W 22nd 1/2 St APT 208, Austin, TX 78705",1,6,744,1983,TRUE,288000,https://www.zillow.com/homedetails/715-W-22nd-1-2-St-APT-208-Austin-TX-78705/62576604_zpid/,08:40.2
564,"The Weston (S105) Plan, Easton Park",3,6,2047,2021,TRUE,392990,https://www.zillow.com/community/easton-park/2080028664_zpid/,08:41.4
565,"The Briscoe (820) Plan, Copperstone",3,6,1479,2021,TRUE,399990,https://www.zillow.com/community/copperstone/2072343027_zpid/,08:42.3
