id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
79,"4 W 21st St APT 14B, New York, NY 10010",3,6,1674,2006,True,1595000,https://www.zillow.com/homedetails/4-W-21st-St-APT-14B-New-York-NY-10010/72538276_zpid/,2021-03-22 19:26:15.112117
80,"100 W 57th St APT 5R, New York, NY 10019",1,6,900,1962,True,185000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5R-New-York-NY-10019/2078079062_zpid/,2021-03-22 19:26:15.839861
81,"12 E 63rd St, New York, NY 10065",20,,13000,1910,True,65000000,https://www.zillow.com/homedetails/12-E-63rd-St-New-York-NY-10065/2099424678_zpid/,2021-03-22 19:26:16.718667
82,"221-27 113th Dr, Queens Village, NY 11429",4,6,,1935,True,599000,https://www.zillow.com/homedetails/221-27-113th-Dr-Queens-Village-NY-11429/2072490773_zpid/,2021-03-22 19:26:17.737271
83,"105-14 134th St, South Richmond Hill, NY 11419",3,6,1264,1920,True,389000,https://www.zillow.com/homedetails/105-14-134th-St-South-Richmond-Hill-NY-11419/2073091889_zpid/,2021-03-22 19:26:18.797833
84,"303 E 57th St APT 32B, New York, NY 10022",2,6,1800,1968,True,445000,https://www.zillow.com/homedetails/303-E-57th-St-APT-32B-New-York-NY-10022/119912033_zpid/,2021-03-22 19:26:19.919717
85,"18-70 211th St APT 2D, Bayside, NY 11360",3,6,1400,1959,True,379000,https://www.zillow.com/homedetails/18-70-211th-St-APT-2D-Bayside-NY-11360/89139258_zpid/,2021-03-22 19:26:22.004223
86,"8829 183rd St, Jamaica, NY 11423",3,6,1632,1930,True,250000,https://www.zillow.com/homedetails/8829-183rd-St-Jamaica-NY-11423/32135323_zpid/,2021-03-22 19:26:23.125700
87,"10218 Russell St, Jamaica, NY 11414",2,,,1925,True,329000,https://www.zillow.com/homedetails/10218-Russell-St-Jamaica-NY-11414/32218247_zpid/,2021-03-22 19:26:24.184733
88,"100 W 57th St #11R, New York, NY 10019",1,6,900,1962,True,215000,https://www.zillow.com/homedetails/100-W-57th-St-11R-New-York-NY-10019/2078461494_zpid/,2021-03-22 19:26:25.086402
89,"106-43 156th St, Jamaica, NY 11433",8,6,2200,1931,True,460000,https://www.zillow.com/homedetails/106-43-156th-St-Jamaica-NY-11433/2073914665_zpid/,2021-03-22 19:26:25.859779
90,"755 Oakland Pl APT 4C, Bronx, NY 10457",1,6,580,1907,True,50000,https://www.zillow.com/homedetails/755-Oakland-Pl-APT-4C-Bronx-NY-10457/2072913084_zpid/,2021-03-22 19:26:26.795547
91,"81 Milford St, Brooklyn, NY 11208",5,6,1152,1910,True,499000,https://www.zillow.com/homedetails/81-Milford-St-Brooklyn-NY-11208/30643606_zpid/,2021-03-22 19:26:27.627391
92,"295 Skyline Dr #C, Staten Island, NY 10304",3,6,,2001,True,348000,https://www.zillow.com/homedetails/295-Skyline-Dr-C-Staten-Island-NY-10304/2078655685_zpid/,2021-03-22 19:26:28.578902
93,"111 W 57th St PENTHOUSE 72, New York, NY 10019",1,,7130,2020,True,66000000,https://www.zillow.com/homedetails/111-W-57th-St-PENTHOUSE-72-New-York-NY-10019/2077908081_zpid/,2021-03-22 19:26:29.539159
94,"150 Sullivan St APT 19, New York, NY 10012",2,6,20190,1900,True,495000,https://www.zillow.com/homedetails/150-Sullivan-St-APT-19-New-York-NY-10012/244892508_zpid/,2021-03-22 19:26:30.643316
95,"416 College Ave, Staten Island, NY 10314",4,6,,1920,True,699900,https://www.zillow.com/homedetails/416-College-Ave-Staten-Island-NY-10314/32282456_zpid/,2021-03-22 19:26:31.441683
96,"5303 Fillmore Ave, Brooklyn, NY 11234",5303,6,1278,1955,True,550000,https://www.zillow.com/homedetails/5303-Fillmore-Ave-Brooklyn-NY-11234/30784604_zpid/,2021-03-22 19:26:32.253700
97,"205 E 63rd St APT 15D, New York, NY 10065",2,6,,1963,True,550000,https://www.zillow.com/homedetails/205-E-63rd-St-APT-15D-New-York-NY-10065/2078579913_zpid/,2021-03-22 19:26:33.246777
98,"281 Wyona St, Brooklyn, NY 11207",9,6,3075,1901,True,499900,https://www.zillow.com/homedetails/281-Wyona-St-Brooklyn-NY-11207/30634354_zpid/,2021-03-22 19:26:34.408207
99,"116 E 70th St, New York, NY 10021",5,,6500,1901,True,23000000,https://www.zillow.com/homedetails/116-E-70th-St-New-York-NY-10021/31534975_zpid/,2021-03-22 19:26:35.345904
100,"131-16 115th Ave, South Ozone Park, NY 11420",3,6,,1925,True,235000,https://www.zillow.com/homedetails/131-16-115th-Ave-South-Ozone-Park-NY-11420/2080380845_zpid/,2021-03-22 19:26:36.373696
101,"432 Park Ave #82, New York, NY 10022",4,,8054,2015,True,90000000,https://www.zillow.com/homedetails/432-Park-Ave-82-New-York-NY-10022/2078304565_zpid/,2021-03-22 19:26:37.198470
102,"96 Crowell Ave, Staten Island, NY 10314",96,,,1925,True,829900,https://www.zillow.com/homedetails/96-Crowell-Ave-Staten-Island-NY-10314/32281344_zpid/,2021-03-22 19:26:37.999128
103,"421 Riedel Ave, Staten Island, NY 10306",2,6,1702,1975,True,550000,https://www.zillow.com/homedetails/421-Riedel-Ave-Staten-Island-NY-10306/32343067_zpid/,2021-03-22 19:26:38.918042
104,"4225 Gunther Ave, Bronx, NY 10466",3,6,1362,1925,True,539000,https://www.zillow.com/homedetails/4225-Gunther-Ave-Bronx-NY-10466/29836992_zpid/,2021-03-22 19:26:39.797998
105,"420 E 51st St APT 3D, New York, NY 10022",2,6,1250,1962,True,425000,https://www.zillow.com/homedetails/420-E-51st-St-APT-3D-New-York-NY-10022/123950252_zpid/,2021-03-22 19:26:40.791338
106,"2090 Madison Ave APT 3E, New York, NY 10037",1,6,750,1920,True,310000,https://www.zillow.com/homedetails/2090-Madison-Ave-APT-3E-New-York-NY-10037/88887595_zpid/,2021-03-22 19:26:41.722947
107,"301 E 61st St #19A, New York, NY 10065",4,,2900,2017,True,9500000,https://www.zillow.com/homedetails/301-E-61st-St-19A-New-York-NY-10065/300195837_zpid/,2021-03-22 19:26:42.539754
108,"1301 Saint Johns Pl, Brooklyn, NY 11213",4,,,2006,True,550000,https://www.zillow.com/homedetails/1301-Saint-Johns-Pl-Brooklyn-NY-11213/79708100_zpid/,2021-03-22 19:26:43.411067
109,"112-50 Northern Blvd #6B, Corona, NY 11368",2,6,,1953,True,195000,https://www.zillow.com/homedetails/112-50-Northern-Blvd-6B-Corona-NY-11368/2078635345_zpid/,2021-03-22 19:26:44.249032
110,"419 W 55th St APT 4C, New York, NY 10019",2,,1300,1911,True,1150000,https://www.zillow.com/homedetails/419-W-55th-St-APT-4C-New-York-NY-10019/72538814_zpid/,2021-03-22 19:26:45.077912
111,"123 E 61st St, New York, NY 10065",123,6,9300,1900,True,18800000,https://www.zillow.com/homedetails/123-E-61st-St-New-York-NY-10065/31534377_zpid/,2021-03-22 19:26:46.313192
112,"86-29 77th Ave, Ridgewood, NY 11385",2,6,,1940,True,599000,https://www.zillow.com/homedetails/86-29-77th-Ave-Ridgewood-NY-11385/2072831598_zpid/,2021-03-22 19:26:47.270070
113,"61 E 77th St, New York, NY 10075",1,6,49000,1920,True,599000,https://www.zillow.com/homedetails/61-E-77th-St-New-York-NY-10075/244840282_zpid/,2021-03-22 19:26:48.094021
114,"2911 D Ave, Brooklyn, NY 11226",3,6,2160,1910,True,399000,https://www.zillow.com/homedetails/2911-D-Ave-Brooklyn-NY-11226/2075897556_zpid/,2021-03-22 19:26:48.797928
115,"213-43 112th Ave, Queens Village, NY 11429",5,6,,1925,True,699999,https://www.zillow.com/homedetails/213-43-112th-Ave-Queens-Village-NY-11429/2072574406_zpid/,2021-03-22 19:26:49.647337
116,"20 W 53rd St, New York, NY 10019",1,,7381,2014,True,39950000,https://www.zillow.com/homedetails/20-W-53rd-St-New-York-NY-10019/122272179_zpid/,2021-03-22 19:26:50.637234
117,"499 Davis Ave #1, Staten Island, NY 10310",2,6,2408,1965,True,898000,https://www.zillow.com/homedetails/499-Davis-Ave-1-Staten-Island-NY-10310/2075356594_zpid/,2021-03-22 19:26:51.372236
118,"303 E 57th St APT 44G, New York, NY 10022",3,,3300,1968,True,795000,https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/,2021-03-22 19:26:52.321807
119,"4 W 21st St APT 14B, New York, NY 10010",3,6,1674,2006,True,1595000,https://www.zillow.com/homedetails/4-W-21st-St-APT-14B-New-York-NY-10010/72538276_zpid/,2021-03-22 19:26:53.463503
120,"24 Cooper St #5CD, New York, NY 10034",3,6,994,1925,True,230000,https://www.zillow.com/homedetails/24-Cooper-St-5CD-New-York-NY-10034/2075662674_zpid/,2021-03-22 19:26:54.330578
121,"861 Willowbrook Rd, Staten Island, NY 10314",2,6,1856,1970,True,800000,https://www.zillow.com/homedetails/861-Willowbrook-Rd-Staten-Island-NY-10314/32291978_zpid/,2021-03-22 19:26:55.228113
122,"61 Patchen Ave, Brooklyn, NY 11221",61,,2480,1899,True,1395000,https://www.zillow.com/homedetails/61-Patchen-Ave-Brooklyn-NY-11221/142836880_zpid/,2021-03-22 19:26:56.279041
123,"1828 Richmond Ter, Staten Island, NY 10310",5000,,,1828,True,5000,https://www.zillow.com/homedetails/1828-Richmond-Ter-Staten-Island-NY-10310/2076910472_zpid/,2021-03-22 19:26:56.962319
124,"100 W 57th St APT 5J, New York, NY 10019",2,6,1200,1962,True,429000,https://www.zillow.com/homedetails/100-W-57th-St-APT-5J-New-York-NY-10019/2078579893_zpid/,2021-03-22 19:26:58.097914
125,"19 E 61st St, New York, NY 10065",6,6,9742,1951,True,27500000,https://www.zillow.com/homedetails/19-E-61st-St-New-York-NY-10065/2100756963_zpid/,2021-03-22 19:26:59.214406
126,"118 Wooster St #4C5C, New York, NY 10012",1908,6,2476,1907,True,5250000,https://www.zillow.com/homedetails/118-Wooster-St-4C5C-New-York-NY-10012/2075668877_zpid/,2021-03-22 19:27:00.176965
